species,genus,binom,family,order,class
houstonianum,Ageratum,Ageratum houstonianum,Asteraceae,Asterales,Magnoliopsida
citricola,Aphis,Aphis citricola,Aphididae,Hemiptera,Insecta
chinensis,Xenopsylla,Xenopsylla chinensis,Psyllidae,Hemiptera,NA
comstocki,Pseudococcus,Pseudococcus comstocki,Pseudococcidae,Hemiptera,Insecta
persimilis,Phytoseiulus,Phytoseiulus persimilis,Phytoseiidae,Mesostigmata,NA
sinica,Chrysoperla,Chrysoperla sinica,Chrysopidae,Neuroptera,Insecta
spp.,Gossypium,Gossypium spp.,Malvaceae,Malvales,NA
rolfsii,Sclerotium,Sclerotium rolfsii,Atheliaceae,Atheliales,Agaricomycetes
ultimum,Pythium,Pythium ultimum,Pythiaceae,Pythiales,Oomycetes
lanigerum,Eriosoma,Eriosoma lanigerum,Pemphigidae,Hemiptera,Insecta
albisignata,Sejanus,Sejanus albisignata,Miridae,Hemiptera,Insecta
hyemalis,Aphelinus,Aphelinus hyemalis,Braconidae,Hymenoptera,Insecta
tasmanica,Dolichogenidea,Dolichogenidea tasmanica,Braconidae,Hymenoptera,Insecta
spp.,Tortricidae,Tortricidae spp.,Tortricidae,Lepidoptera,Insecta
spp.,Lygus,Lygus spp.,Miridae,Hemiptera,Insecta
avenae,Heterodera,Heterodera avenae,Heteroderidae,Tylenchida,Secernentea
schachtii,Heterodera,Heterodera schachtii,Heteroderidae,Tylenchida,Secernentea
rostochiensis,Globodera,Globodera rostochiensis,Heteroderidae,Tylenchida,Secernentea
cacao,Theobroma,Theobroma cacao,Malvaceae,Malvales,NA
cramerella,Conopomorpha,Conopomorpha cramerella,Gracillariidae,Lepidoptera,Insecta
spp.,Heteroptera,Heteroptera spp.,NA,Hemiptera,Insecta
lapathifolia,Armoracia,Armoracia lapathifolia,Brassicaceae,Brassicales,NA
semipenetrans,Tylenchulus,Tylenchulus semipenetrans,Tylenchulidae,Tylenchida,NA
scutellata,Medicago,Medicago scutellata,Fabaceae,Fabales,Magnoliopsida
spp.,Acrobeles,Acrobeles spp.,Cephalobidae,Rhabditida,Secerntea
phaseoloides,Pueraria,Pueraria phaseoloides,Fabaceae,Fabales,NA
spp.,Musa,Musa spp.,Musaceae,Zingiberales,Liliopsida
wightii,Neonotonia,Neonotonia wightii,Fabaceae,Fabales,NA
spp.,Lotonchus,Lotonchus spp.,Lotonchidae,Monochida,NA
spp.,Hoplolaimus,Hoplolaimus spp.,Hoplolaimidae,Tylenchida,Secernentea
spp.,Helicotylenchus,Helicotylenchus spp.,Hoplolaimidae,Tylenchida,Secernentea
spp.,Mesodorylaimus,Mesodorylaimus spp.,Dorylaimidae,Dorylamida,Adenophorea
spp.,Filenchus,Filenchus spp.,Tylenchidae,Tylenchida,Secernentea
spp.,Prodorylaimus,Prodorylaimus spp.,Dorylaimidae,Dorylaimida,Adenophorea
spp.,Cephalenchus,Cephalenchus spp.,Tylenchidae,Tylenchida,Secernentea
spp.,Rhabditis,Rhabditis spp.,Rhabditidae,Rhabditida,Secernentea
spp.,Mononchus,Mononchus spp.,Mononchidae,Dorylamida,Adenophorea
spp.,Eucephalobus,Eucephalobus spp.,Cephalobidae,Rhabditida,Secernentea
spp.,Citrus,Citrus spp.,Rutaceae,Sapindales,Magnoliopsida
family,Gemmatimonaceae,Gemmatimonaceae family,Gemmatimonaceae,Gemmatimonales,NA
phylum,Bacteroidetes,Bacteroidetes phylum,NA,NA,NA
phylum,Actinobacteria,Actinobacteria phylum,NA,NA,NA
phylum,Acidobacteria,Acidobacteria phylum,NA,NA,NA
phylum,Proteobacteria,Proteobacteria phylum,NA,NA,NA
tinctoria,Isatis,Isatis tinctoria,Brassicaceae,Brassicales,NA
vu,Hordeum,Hordeum vu,Poaceae,Poales,NA
hypogaea,Arachis,Arachis hypogaea,Fabaceae,Fabales,Magnoliopsida
alba,Salix,Salix alba,Salicaceae,Malpighiales,Magnoliopsida
order,Oribatida,Oribatida order,NA,NA,NA
saccharinum,Acer,Acer saccharinum,Sapindaceae,Sapindales,Magnoliopsida
americana,Fraxinum,Fraxinum americana,Oleaceae,Lamiales,NA
discolor,Salix,Salix discolor,Salicaceae,Malpighiales,Magnoliopsida
calothyrsus,Calliandra,Calliandra calothyrsus,Fabaceae,Fabales,NA
cajan,Cajanus,Cajanus cajan,Fabaceae,Fabales,Magnoliopsida
poeppigiana,Erythrina,Erythrina poeppigiana,Fabaceae,Fabales,Magnoliopsida
barteri,Dactyladenia,Dactyladenia barteri,Chrysobalanaceae,Malphighiales,Magnoliopsida
trichandra,Leucaena,Leucaena trichandra,Fabaceae,Fabales,Magnoliopsida
nemoralis,Vetiveria,Vetiveria nemoralis,Poaceae,Poales,Liliopsida
pipiens,Rana,Rana pipiens,Ranidae,Anura,Amphibia
luteiventris,Rana,Rana luteiventris,Ranidae,Anura,Amphibia
macrodactylum,Ambystoma,Ambystoma macrodactylum,Ambystomatidae,Caudata,Amphibia
aurora,Rana,Rana aurora,Ranidae,Anura,Amphibia
viridis,Bufo,Bufo viridis,Bufonidae,Anura,Amphibia
bombina,Bombina,Bombina bombina,Bombinatoridae,Anura,Amphibia
fasciolatus,Mixophyes,Mixophyes fasciolatus,Myobatrachidae,Anura,Amphibia
fasciolatus,Mixophyes,Mixophyes fasciolatus,NA,NA,NA
romeri,Chirixalus,Chirixalus romeri,Rhacophoridae,Anura,Amphibia
acutirostris,Taudactylus,Taudactylus acutirostris,Myobatrachidae,Anura,Amphibia
fuscus,Pelobates,Pelobates fuscus,Pelobatidae,Anura,Amphibia
zeteki,Atelopus,Atelopus zeteki,Bufonidae,Anura,Amphibia
helveticus,Triturus,Triturus helveticus,Poaceae,Poales,Liliopsida
americanus,Bufo,Bufo americanus,Bufonidae,Anura,Amphibia
sylvatica,Rana,Rana sylvatica,Ranidae,Anura,Amphibia
pakeka,Leiopelma,Leiopelma pakeka,Leiopelmatidae,Anura,Amphibia
arvalis,Rana,Rana arvalis,Ranidae,Anura,Amphibia
dendrobatidis,Batrachochytrium,Batrachochytrium dendrobatidis,Rhizophydiales_incertae_sedis,Rhizophydiales,Chytridiomycetes
caerulea,Litoria,Litoria caerulea,Pelodryadidae,Anura,Amphibia
obstetricans,Alytes,Alytes obstetricans,Alytidae,Anura,Amphibia
rosea,Geocrinia,Geocrinia rosea,Myobatrachidae,Anura,Amphibia
archeyi,Leiopelma,Leiopelma archeyi,Leiopelmatidae,Anura,Amphibia
muletensis,Alytes,Alytes muletensis,Alytidae,Anura,Amphibia
alleganiensis,Cryptobranchus,Cryptobranchus alleganiensis,Cryptobranchidae,Caudata,Amphibia
catesbeiana,Rana,Rana catesbeiana,Ranidae,Anura,Amphibia
californiense,Ambystoma,Ambystoma californiense,Ambystomatidae,Caudata,Amphibia
nasuta,Megophrys,Megophrys nasuta,Megophryidae,Anura,Amphibia
boylii,Rana,Rana boylii,Ranidae,Anura,Amphibia
nigrops,Leptobrachium,Leptobrachium nigrops,Megophryidae,Anura,Amphibia
cranwelli,Ceratophrys,Ceratophrys cranwelli,Ceratophryidae,Anura,Amphibia
alba,Geocrinia,Geocrinia alba,Myobatrachidae,Anura,Amphibia
nebulifer,Incilius,Incilius nebulifer,Bufonidae,Anura,Amphibia
mexicanum,Ambystoma,Ambystoma mexicanum,Ambystomatidae,Caudata,Amphibia
arborea,Hyla,Hyla arborea,Hylidae,Anura,Amphibia
hamiltoni,Leiopelma,Leiopelma hamiltoni,Leiopelmatidae,Anura,Amphibia
marinus,Bufo,Bufo marinus,Bufonidae,Anura,Amphibia
fowleri,Bufo,Bufo fowleri,Bufonidae,Anura,Amphibia
baxteri,Bufo,Bufo baxteri,Bufonidae,Anura,Amphibia
mulentensis,Alytes,Alytes mulentensis,Alytidae,Anura,Amphibia
blombergi,Bufo,Bufo blombergi,Bufonidae,Anura,Amphibia
hemiophrys,Bufo,Bufo hemiophrys,Bufonidae,Anura,Amphibia
corroboree,Pseudophryne,Pseudophryne corroboree,Myobatrachidae,Anura,Amphibia
variegata,Bombina,Bombina variegata,Bombinatoridae,Anura,Amphibia
genimaculata,Litoria,Litoria genimaculata,Pelodryadidae,Anura,Amphibia
nannotis,Litoria,Litoria nannotis,Pelodryadidae,Anura,Amphibia
arvalis,Rhacophorus,Rhacophorus arvalis,Rhacophoridae,Anura,Amphibia
crepitans,Acris,Acris crepitans,Hylidae,Anura,Amphibia
pretiosa,Rana,Rana pretiosa,Ranidae,Anura,Amphibia
elegans,Atelopus,Atelopus elegans,Bufonidae,Anura,Amphibia
spumarius,Atelopus,Atelopus spumarius,Bufonidae,Anura,Amphibia
spumarius-pulcher,Atelopus,Atelopus spumarius-pulcher,Bufonidae,Anura,Amphibia
asperginis,Nectophrynoides,Nectophrynoides asperginis,Bufonidae,Anura,Amphibia
houstonensis,Anaxyrus,Anaxyrus houstonensis,Bufonidae,Anura,Amphibia
draytonii,Rana,Rana draytonii,Ranidae,Anura,Amphibia
aurea,Litoria,Litoria aurea,Pelodryadidae,Anura,Amphibia
lemur,Peltophryne,Peltophryne lemur,Bufonidae,Anura,Amphibia
syriacus,Pelobates,Pelobates syriacus,Pelobatidae,Anura,Amphibia
vittatus,Triturus,Triturus vittatus,Poaceae,Poales,Liliopsida
houstonensis,Bufo,Bufo houstonensis,Bufonidae,Anura,Amphibia
idahoensis,Plethodon,Plethodon idahoensis,Plethodontidae,Caudata,Amphibia
romeri,Philautus,Philautus romeri,Rhacophoridae,Anura,Amphibia
punctatus,Pelodytes,Pelodytes punctatus,Pelodytidae,Anura,Amphibia
regularis,Bufo,Bufo regularis,Bufonidae,Anura,Amphibia
spp.,Rhinoderma,Rhinoderma spp.,Rhinodermatidae,Anura,Amphibia
callidryas,Agalychnis,Agalychnis callidryas,Phyllomedusidae,Anura,Amphibia
orientalis,Bombina,Bombina orientalis,Bombinatoridae,Anura,Amphibia
paracnemis,Bufo,Bufo paracnemis,Bufonidae,Anura,Amphibia
Kaupii,Potymotyphlus,Potymotyphlus Kaupii,Typhlonectidae,Gynophiona,Amphibia
canescens,Chara,Chara canescens,Chara,Characeae,Charales
lemur,Hylomantis,Hylomantis lemur,Phyllomedusidae,Anura,Amphibia
pratti,Colostethus,Colostethus pratti,Dendrobatidae,Anura,Amphibia
cornuta,Gastrotheca,Gastrotheca cornuta,Hemiphractidae,Anura,Amphibia
spinosa,Anotheca,Anotheca spinosa,Hylidae,Anura,Amphibia
vicentei,Dendrobates,Dendrobates vicentei,Dendrobatidae,Anura,Amphibia
minutus,Minyobates,Minyobates minutus,Dendrobatidae,Anura,Amphibia
gaigae,Eleutherodactylus,Eleutherodactylus gaigae,Eleutherodactylidae,Anura,Lissamphibia
diastema,Pristimantis,Pristimantis diastema,Craugastionidae,Anura,Amphibia
palmeri,Hyloscirtus,Hyloscirtus palmeri,Hylidae,Anura,Amphibia
fasciatus,Hemiphractus,Hemiphractus fasciatus,Hemiphractidae,Anura,Amphibia
opacum,Ambystoma,Ambystoma opacum,Ambystomatidae,Caudata,Amphibia
flavescens,Atelopus,Atelopus flavescens,Bufonidae,Anura,Amphibia
dalmatina,Rana,Rana dalmatina,Ranidae,Anura,Amphibia
hubrichti,Phaeognathus,Phaeognathus hubrichti,Plethodontidae,Caudata,Amphibia
lemur,Agalychnis,Agalychnis lemur,Phyllomedusidae,Anura,Amphibia
boreas,Bufo,Bufo boreas,Bufonidae,Anura,Amphibia
tigrinum,Ambystoma,Ambystoma tigrinum,Ambystomatidae,Caudata,Amphibia
maculate,Pseudacris,Pseudacris maculate,Hylidae,Anura,Amphibia
curtipes,Hymenochirus,Hymenochirus curtipes,Pipidae,Anura,Amphibia
sphenocephalus,Lithobates,Lithobates sphenocephalus,Ranidae,Anura,Amphibia
reactans,Pseudomonas,Pseudomonas reactans,Pseudomonadaceae,Pseudomonadales,Gamma Protobacteria
eschscholtzii,Ensatina,Ensatina eschscholtzii,Plethodontidae,Caudata,Amphibia
vehiculum,Plethodon,Plethodon vehiculum,Plethodontidae,Caudata,Amphibia
truei,Ascaphus,Ascaphus truei,Ascaphidae,Anura,Amphibia
capito,Lithobates,Lithobates capito,Ranidae,Anura,Amphibia
albomaculata,Sachatamia,Sachatamia albomaculata,Centrolenidae,Anura,Amphibia
gracile,Ambystoma,Ambystoma gracile,Ambystomatidae,Caudata,Amphibia
ochrophaeus,Desmognathus,Desmognathus ochrophaeus,Plethodontidae,Caudata,Amphibia
glutinosus,Plethodon,Plethodon glutinosus,Plethodontidae,Caudata,Amphibia
richmondii,Plethodon,Plethodon richmondii,Plethodontidae,Urodela,Amphibia
alpestris,Triturus,Triturus alpestris,Poaceae,Poales,Liliopsida
baxteri,Anaxyrus,Anaxyrus baxteri,Bufonidae,Anura,Amphibia
japonicas,Andrias,Andrias japonicas,Cryptobranchidae,Urodela,Amphibia
taipehensis,Rana,Rana taipehensis,Ranidae,Anura,Amphibia
alcatrazin,Scinax,Scinax alcatrazin,Hylidae,Anura,Amphibia
alcatrazin,Scinax,Scinax alcatrazin,NA,NA,NA
perpusillus,Scinax,Scinax perpusillus,Hylidae,Anura,Amphibia
laevis,Xenopus,Xenopus laevis,Pipidae,Anura,Amphibia
cisternasii,Alytes,Alytes cisternasii,Alytidae,Anura,Amphibia
sp.,Eleutherodactylus,Eleutherodactylus sp.,Eleutherodactylidae,Anura,Lissamphibia
rathbuni,Typhlomolge,Typhlomolge rathbuni,Plethodontidae,Urodela,Amphibia
aurantiaca,Mantella,Mantella aurantiaca,Mantellidae,Anura,Amphibia
guineti,Dyscophus,Dyscophus guineti,Microhylidae,Anura,Amphibia
marmorata,Scaphiophryne,Scaphiophryne marmorata,Microhylidae,Anura,Amphibia
pardalis,Furcifer,Furcifer pardalis,Chamaeleonidae,Squamata,Reptilia
standingi,Phelsuma,Phelsuma standingi,Gekkonidae,Squamata,Reptilia
madagascariensis,Phelsuma,Phelsuma madagascariensis,Gekkonidae,Squamata,Reptilia
lineatus,Uroplatus,Uroplatus lineatus,Gekkonidae,Squamata,Reptilia
parsoni,Calumma,Calumma parsoni,Chamaeleonidae,Squamata,Reptilia
arachnoids,Pyxis,Pyxis arachnoids,Testudinidae,Testudines,Reptilia
phantasticus,Uroplatus,Uroplatus phantasticus,Gekkonidae,Squamata,Reptilia
ebenaui,Uroplatus,Uroplatus ebenaui,Gekkonidae,Squamata,Reptilia
booroolongensis,Litoria,Litoria booroolongensis,Hylidae,Anura,Amphibia
gilli,Xenopus,Xenopus gilli,Pipidae,Anura,Amphibia
coqui,Eleutherodactylus,Eleutherodactylus coqui,Eleutherodactylidae,Anura,Amphibia
hochstetteri,Leiopelma,Leiopelma hochstetteri,Leiopelmatidae,Anura,Amphibia
vitiana,Platymantis,Platymantis vitiana,NA,NA,NA
tinctorius,Dendrobates,Dendrobates tinctorius,Dendrobatidae,Anura,Amphibia
granulosa,Taricha,Taricha granulosa,Salamandridae,Caudata,Amphibia
tenebrosus,Dicamptodon,Dicamptodon tenebrosus,Ambystomatidae,Caudata,Amphibia
lemur,Bufo,Bufo lemur,Bufonidae,Anura,Amphibia
tropicalis,Xenopus,Xenopus tropicalis,Pipidae,Anura,Amphibia
latastei,Rana,Rana latastei,Ranidae,Anura,Amphibia
bislineata,Eurycea,Eurycea bislineata,Plethodontidae,Caudata,Amphibia
wilderae,Eurycea,Eurycea wilderae,Plethodontidae,Caudata,Amphibia
quadramaculatus,Desmognathus,Desmognathus quadramaculatus,Plethodontidae,Caudata,Amphibia
sylvaticus,Lithobates,Lithobates sylvaticus,Ranidae,Anura,Amphibia
cascadae,Rhyacotriton,Rhyacotriton cascadae,Rhyacotritonidae,Caudata,Amphibia
spp,Dicamptodon,Dicamptodon spp,Dicamptodonidae,Urodela,Amphibia
auratus,Dendrobates,Dendrobates auratus,Dendrobatidae,Anura,Amphibia
azureus,Dendrobates,Dendrobates azureus,Dendrobatidae,Anura,Amphibia
clamitans,Rana,Rana clamitans,Ranidae,Anura,Amphibia
blanchardi,Acris,Acris blanchardi,Hylidae,Anura,Amphibia
annulatum,Ambystoma,Ambystoma annulatum,Ambystomatidae,Caudata,Amphibia
triseriata,Pseudacris,Pseudacris triseriata,Hylidae,Anura,Amphibia
squirella,Hyla,Hyla squirella,Hylidae,Anura,Amphibia
cinerea,Hyla,Hyla cinerea,Hylidae,Anura,Amphibia
americanus,Anaxyrus,Anaxyrus americanus,Bufonidae,Anura,Amphibia
clamitans,Lithobates,Lithobates clamitans,Ranidae,Anura,Amphibia
neotenes,Eurycea,Eurycea neotenes,Plethodontidae,Caudata,Amphibia
tarahumarae,Rana,Rana tarahumarae,Ranidae,Anura,Amphibia
cuniculus,Oryctolagos,Oryctolagos cuniculus,Leporidae,Lagomorpha,Mammalia
meridionalis,Hyla,Hyla meridionalis,Hylidae,Anura,Amphibia
wrighti,Batrachoseps,Batrachoseps wrighti,Plethodontidae,Caudata,Amphibia
giant,coastal,coastal giant,NA,NA,NA
ubrichti,Plethodonh,Plethodonh ubrichti,Plethodontidae,Urodela,Amphibia
sevosa,Rana,Rana sevosa,Ranidae,Anura,Amphibia
guentheri,Pseudophryne,Pseudophryne guentheri,Myobatrachidae,Anura,Amphibia
spp.,Atelopus,Atelopus spp.,Bufonidae,Anura,Amphibia
chinhaiensis,Echinotriton,Echinotriton chinhaiensis,Salamandridae,Caudata,Amphibia
chiricahuensis,Lithobates,Lithobates chiricahuensis,Ranidae,Anura,Amphibia
yavapaiensis,Lithobates,Lithobates yavapaiensis,Ranidae,Anura,Amphibia
axanthus,Pseudobranchus,Pseudobranchus axanthus,Sirenidae,Caudata,Amphibia
crucifer,Pseudacris,Pseudacris crucifer,Hylidae,Anura,Amphibia
peronii,Litoria,Litoria peronii,Hylidae,Anura,Amphibia
texanum,Ambystoma,Ambystoma texanum,Ambystomatidae,Caudata,Amphibia
melas,Ameiurus,Ameiurus melas,Ictaluridae,Siluriformes,Actinopterygii
pipiens,Lithobates,Lithobates pipiens,Ranidae,Anura,Amphibia
ornata,Ceratophrys,Ceratophrys ornata,Ceratophryidae,Anura,Amphibia
americanus,Odontophrynus,Odontophrynus americanus,Odontophrynidae,Anura,Amphibia
maosonensis,Hylarana,Hylarana maosonensis,Ranidae,Anura,Amphibia
feae,Rhacophorus,Rhacophorus feae,Rhacophoridae,Anura,Amphibia
maximus,Rhacophorus,Rhacophorus maximus,Rhacophoridae,Anura,Amphibia
dennysi,Rhacophorus,Rhacophorus dennysi,Rhacophoridae,Anura,Amphibia
japonicus,Andrias,Andrias japonicus,Cryptobranchidae,Caudata,Amphibia
versicolor,Hyla,Hyla versicolor,Hylidae,Anura,Amphibia
orlovi,Rhacophorus,Rhacophorus orlovi,Rhacophoridae,Anura,Amphibia
lessonae,Pelophylax,Pelophylax lessonae,Ranidae,Anura,Amphibia
asper,Euproctus,Euproctus asper,Salamandridae,Urodela,Amphibia
picta,Chrysemys,Chrysemys picta,Emydidae,Testudines,Reptilia
serpentina,Chelydra,Chelydra serpentina,Chelydridae,Testudines,Reptilia
chloris,Litoria,Litoria chloris,Hylidae,Anura,Amphibia
peronii,Limnodynastes,Limnodynastes peronii,Myobatrachidae,Anura,Amphibia
baroni,Mantella,Mantella baroni,Mantellidae,Anura,Amphibia
pulchra,Mantella,Mantella pulchra,Mantellidae,Anura,Amphibia
laevigata,Mantella,Mantella laevigata,Mantellidae,Anura,Amphibia
davidianus,Andrias,Andrias davidianus,Cryptobranchidae,Caudata,Amphibia
spp.,Triticosecale,Triticosecale spp.,Poaceae,Poales,NA
arietinum,Cicer,Cicer arietinum,Fabaceae,Fabales,Magnoliopsida
spp.,Medicago,Medicago spp.,Fabaceae,Fabales,Magnoliopsida
vulgaris,Citrullus,Citrullus vulgaris,Cucurbitaceae,Cucurbitales,Magnoliopsida
vogelii,Tephrosia,Tephrosia vogelii,Fabaceae,Fabales,NA
esculentus,Abelmoschus,Abelmoschus esculentus,Malvacaeae,Malvales,Magnoliopsida
julibrissin,Albizia,Albizia julibrissin,Fabaceae,Fabales,NA
moschata,Cucurbita,Cucurbita moschata,Cucurbitaceae,Cucurbitales,NA
spp.,Ranunculus,Ranunculus spp.,Ranunculaceae,Ranunculales,NA
spp.,Saccharum,Saccharum spp.,Poaceae,Poales,NA
ananassa,Fragaria,Fragaria ananassa,Rosaceae,Rosales,Magnoliopsida
esculentus,Hibiscus,Hibiscus esculentus,Malvaceae,Malvales,Magnoliopsida
fluorescens,Pseudomonas,Pseudomonas fluorescens,Pseudomonadaceae,Pseudomonadales,Gamma Protobacteria
roxellana,Rhinopithecus,Rhinopithecus roxellana,Cercopithecidae,Primates,Mammalia
ni,Trichoplusia,Trichoplusia ni,Noctuidae,Lepidoptera,Insecta
brassicae,Brevicoryne,Brevicoryne brassicae,Aphididae,Hemiptera,Insecta
ornithogalli,Spodoptera,Spodoptera ornithogalli,Noctuidae,Lepidoptera,Insecta
spp.,Frankliniella,Frankliniella spp.,Thripidae,Thysanoptera,Insecta
lupulus,Humulus,Humulus lupulus,Cannabaceae,Rosales,Magnoliopsida
oculata,Chrysopa,Chrysopa oculata,Chrysopidae,Neuroptera,Insecta
lineolaris,Lygus,Lygus lineolaris,Miridae,Hemiptera,Insecta
tristicolor,Orius,Orius tristicolor,Anthocoridae,Hemiptera,Insecta
punctum-picipes,Stethorus,Stethorus punctum-picipes,Coccinellidae,Coleoptera,Insecta
vittatus,Collops,Collops vittatus,Melyridae,Coleoptera,Insecta
avenae,aphidius,aphidius avenae,Braconidae,Hymenoptera,Insecta
gifuensis,aphidius,aphidius gifuensis,Braconidae,Hymenoptera,Insecta
axyridis,Harmania,Harmania axyridis,Coccinellidae,Coleoptera,Insecta
japonica,Propylaea,Propylaea japonica,Coccinellidae,Coleoptera,Insecta
gossypiella,Pectinophora,Pectinophora gossypiella,Gelechiidae,Lepidoptera,Insecta
hermonthica,Striga,Striga hermonthica,Orobanchaceae,Lamiales,Magnoliopsida
uncinatum,Desmodium,Desmodium uncinatum,Fabaceae,Fabales,Magnoliopsida
spp.,Striga,Striga spp.,Orobanchaceae,Lamiales,Magnoliopsida
fasciatum,Melanostoma,Melanostoma fasciatum,Syrphidae,Diptera,Insecta
semiclausum,Diadegma,Diadegma semiclausum,Ichneumonidae,Hymenoptera,Insecta
flava,Scaptomyza,Scaptomyza flava,Drosophilidae,Diptera,Insecta
zealandica,Anacharis,Anacharis zealandica,Figitidae,Hymenoptera,Insecta
novaezealandiae,Melangyna,Melangyna novaezealandiae,Syrphidae,Diptera,Insecta
intortum,Desmodium,Desmodium intortum,Fabaceae,Fabales,Magnoliopsida
fuscivora,Dolichogenidea,Dolichogenidea fuscivora,Braconidae,Hymenoptera,Insecta
nigricornis,Chrysopa,Chrysopa nigricornis,Chrysopidae,Neuroptera,Insecta
plorabunda,Chrysopa,Chrysopa plorabunda,Chrysopidae,Neuroptera,Insecta
sudanese,Sorghum,Sorghum sudanese,Poaceae,Poales,Liliopsida
coracana,Eleusine,Eleusine coracana,Poaceae,Poales,Liliopsida
spp.,Bembidion,Bembidion spp.,Carabidae,Coleoptera,Insecta
bilineata,Aleochara,Aleochara bilineata,Staphylinidae,Coleoptera,Insecta
bipustulata,Aleochara,Aleochara bipustulata,Staphylinidae,Coleoptera,Insecta
spp.,Prunus,Prunus spp.,Rosaceae,Rosales,Magnoliopsida
spp.,Tachinidae,Tachinidae spp.,Tachinidae,Diptera,Insecta
marginatus,Toxomerus,Toxomerus marginatus,Syrphidae,Diptera,Insecta
magdalensis,Scaphytopius,Scaphytopius magdalensis,Cicadellidae,Hemiptera,Insecta
vaccinii,Limotettix,Limotettix vaccinii,Cicadellidae,Hemiptera,Insecta
atromaculatus,Astylus,Astylus atromaculatus,Melyridae,Coleoptera,Insecta
spp.,Cotesia,Cotesia spp.,Braconidae,Hymenoptera,Insecta
spp.,Cheilomenes,Cheilomenes spp.,Coccinellidae,Coleoptera,Insecta
spp.,Crematogaster,Crematogaster spp.,Formicidae,Hymenoptera,Insecta
spp.,Camponotus,Camponotus spp.,Formicidae,Hymenoptera,Insecta
spp.,Dorlyus,Dorlyus spp.,Formicidae,Hymenoptera,Insecta
spp.,Pheidole,Pheidole spp.,Formicidae,Hymenoptera,Insecta
spp.,Diaperasticus,Diaperasticus spp.,Forficulidae,Dermaptera,Insecta
spp.,Forficula,Forficula spp.,Forficulidae,Dermaptera,Insecta
varivestis,Epilachna,Epilachna varivestis,Coccinellidae,Coleoptera,Insecta
maculiventris,Podisus,Podisus maculiventris,Pentatomidae,Hemiptera,Insecta
eridania,Spodoptera,Spodoptera eridania,Noctuidae,Lepidoptera,Insecta
trifolii,Liriomyza,Liriomyza trifolii,Agromyzidae,Diptera,Insecta
rotundatum,Gymnosoma,Gymnosoma rotundatum,Tachinidae,Diptera,Insecta
stali,Plautia,Plautia stali,Pentatomidae,Hemiptera,Insecta
tomentosa,Paulownia,Paulownia tomentosa,Paulowniaceae,Lamiales,Magnoliopsida
fruticosa,Amorpha,Amorpha fruticosa,Fabaceae,Fabales,Magnoliopsida
zizanioides,Vetiveria,Vetiveria zizanioides,Poaceae,Poales,Liliopsida
binata,Eulaliopsis,Eulaliopsis binata,Poaceae,Poales,Liliopsida
astrigera,Pardosa,Pardosa astrigera,Lycosidae,Araneae,Arachnida
bilobata,Parameioneta,Parameioneta bilobata,Linyphiidae,Araneae,Arachnida
subpiraticus,Pirata,Pirata subpiraticus,Lycosidae,Araneae,Arachnida
spp.,Empididae,Empididae spp.,Empididae,Diptera,Insecta
spp.,Forficulidae,Forficulidae spp.,Forficulidae,Dermaptera,Insecta
spp.,Eriophyidae,Eriophyidae spp.,Eriophyidae,Trombidiformes,Arachnida
erysimi,Lipaphis,Lipaphis erysimi,Aphididae,Hemiptera,Insecta
spp.,Aphidiidae,Aphidiidae spp.,Aphidiidae,Hymenoptera,Insecta
near-pseudococci,Anagyrus,Anagyrus near-pseudococci,Encyrtidae,Hymenoptera,Insecta
citri,Planococcus,Planococcus citri,Pseudococcidae,Hemiptera,Insecta
paradisi,Citrus,Citrus paradisi,Rutaceae,Sapindales,Magnoliopsida
dactylopii,Leptomastix,Leptomastix dactylopii,Encyrtidae,Hymenoptera,Insecta
spp.,Metaphycus,Metaphycus spp.,Encyrtidae,Hymenoptera,Insecta
spp.,Anagrus,Anagrus spp.,Mymaridae,Hymenoptera,Insecta
spp.,Stethorus,Stethorus spp.,Coccinellidae,Coleoptera,Insecta
spp.,Tetranychidae,Tetranychidae spp.,Tetranychidae,Trombidiformes,Arachnida
spp.,Fulgoroidea,Fulgoroidea spp.,NA,Hemiptera,Insecta
virescens,Nephotettix,Nephotettix virescens,Cicadellidae,Hemiptera,Insecta
arachidicola,Cercospora,Cercospora arachidicola,Mycosphaerellaceae,Capnodiales,Dothideomycetes
spp.,Mycosphaerellaceae,Mycosphaerellaceae spp.,Mycosphaerellaceae,Capnodiales,Dothideomycetes
personatum,Cercosporidium,Cercosporidium personatum,Mycosphaerellaceae,Capnodiales,Dothideomycetes
spp.,Tospovirus,Tospovirus spp.,Bunyaviridae,NA,NA
lividum,Janthinobacterium,Janthinobacterium lividum,Oxalobacteraceae,Burkholderiales,Betaproteobacteria
spp.,Delia,Delia spp.,Anthomyiidae,Diptera,Insecta
kaber,Brassica,Brassica kaber,Brassicaceae,Brassicales,Magnoliopsida
convolvulus,Polygonum,Polygonum convolvulus,Polygonaceae,Polygonales,Magnoliopsida
spp.,Arion,Arion spp.,Arionidae,Stylommatophora,Gastropoda
reticulatum,Derocerus,Derocerus reticulatum,Agriolimacidae,Pulmonata,Gastropoda
excelsior,Fraximus,Fraximus excelsior,Oleaceae,Lamiales,Magnoliopsida
maxima,Corlyus,Corlyus maxima,Betulaceae,Fagales,Magnoliopsida
aeneus,Harpalus,Harpalus aeneus,Carabidae,Coleoptera,Insecta
